,date,open,high,low,close,volume,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade
0,2024-08-06 13:30:00+00:00,400.2349853515625,403.2200012207031,398.5050048828125,401.8949890136719,5736849.0,True,True,True,True,0,0,1,False,False,False,False,False,,,,
1,2024-08-06 14:30:00+00:00,401.92498779296875,404.9800109863281,401.1099853515625,401.239990234375,3270740.0,True,True,True,True,0,0,2,False,False,False,False,False,,,,
2,2024-08-06 15:30:00+00:00,401.18499755859375,405.5799865722656,401.1600036621094,403.9949951171875,1679134.0,True,True,True,True,0,0,3,False,False,False,False,False,,,,
3,2024-08-06 16:30:00+00:00,404.04998779296875,405.6700134277344,403.2200012207031,403.739990234375,1477360.0,True,True,True,True,0,0,4,False,False,False,False,False,,,,
4,2024-08-06 17:30:00+00:00,403.82000732421875,404.3900146484375,402.989990234375,404.3367919921875,1344302.0,True,True,True,True,0,0,5,False,False,False,False,False,,,,
5,2024-08-06 18:30:00+00:00,404.3399963378906,404.7799987792969,400.8399963378906,401.8699951171875,2256254.0,True,True,True,True,0,0,6,False,False,False,False,False,,,,
6,2024-08-06 19:30:00+00:00,401.92999267578125,402.125,399.2300109863281,399.42999267578125,2930138.0,True,True,True,True,0,0,7,False,False,False,False,False,,,,
7,2024-08-07 13:30:00+00:00,408.635009765625,410.04998779296875,406.92999267578125,408.45001220703125,3936839.0,True,True,True,True,0,0,8,False,False,False,False,False,,,,
8,2024-08-07 14:30:00+00:00,408.4200134277344,409.4991149902344,406.5,407.2200012207031,1816375.0,True,True,True,True,0,0,9,False,False,False,False,False,,,,
9,2024-08-07 15:30:00+00:00,407.25,407.6600036621094,403.3900146484375,404.75,1854323.0,True,True,True,True,0,0,10,False,False,False,False,False,,,,
10,2024-08-07 16:30:00+00:00,404.7449951171875,404.8399963378906,400.0899963378906,401.1700134277344,1944323.0,True,True,True,True,0,0,11,False,False,False,False,False,,,,
11,2024-08-07 17:30:00+00:00,401.17498779296875,402.1000061035156,399.20001220703125,400.05999755859375,2030046.0,True,True,True,True,0,0,12,False,False,False,False,False,,,,
12,2024-08-07 18:30:00+00:00,399.9800109863281,401.04998779296875,398.260009765625,400.1217956542969,2130825.0,True,True,True,True,0,0,13,False,False,False,False,False,,,,
13,2024-08-07 19:30:00+00:00,400.0,400.7099914550781,397.4700012207031,398.20001220703125,2139089.0,True,True,True,True,0,0,14,False,False,False,False,False,,,,
14,2024-08-08 13:30:00+00:00,402.3999938964844,405.67999267578125,399.9407043457031,405.44500732421875,3498367.0,True,True,True,True,0,0,15,False,False,False,False,False,,,,
15,2024-08-08 14:30:00+00:00,405.44500732421875,405.8599853515625,402.32000732421875,403.2250061035156,2140891.0,True,True,True,True,0,0,16,False,False,False,False,False,,,,
16,2024-08-08 15:30:00+00:00,403.2300109863281,404.75,402.1000061035156,402.79400634765625,1284808.0,True,True,True,True,0,0,17,False,False,False,False,False,,,,
17,2024-08-08 16:30:00+00:00,402.79998779296875,404.0799865722656,401.1700134277344,403.7986145019531,1169976.0,True,True,True,True,0,0,18,False,False,False,False,False,,,,
18,2024-08-08 17:30:00+00:00,403.94000244140625,405.57000732421875,403.7799987792969,404.3500061035156,1224520.0,True,True,True,True,0,0,19,False,False,False,False,False,,,,
19,2024-08-08 18:30:00+00:00,404.3599853515625,405.25,401.4700012207031,401.489990234375,2131781.0,True,True,True,True,0,0,20,False,False,False,False,False,,,,
20,2024-08-08 19:30:00+00:00,401.6000061035156,403.30999755859375,400.25,403.0199890136719,2226559.0,True,True,True,True,0,0,21,False,False,False,False,False,,,,
21,2024-08-09 13:30:00+00:00,404.0,406.0,403.1499938964844,403.9100036621094,3978590.0,True,True,True,True,0,0,22,False,False,False,False,False,,,,
22,2024-08-09 14:30:00+00:00,403.79998779296875,406.1600036621094,402.26239013671875,404.1650085449219,1678257.0,True,True,True,True,0,0,23,False,False,False,False,False,,,,
23,2024-08-09 15:30:00+00:00,404.29998779296875,405.54998779296875,403.4100036621094,403.67999267578125,988547.0,True,True,True,True,0,0,24,False,False,False,False,False,,,,
24,2024-08-09 16:30:00+00:00,403.6499938964844,407.5799865722656,403.6499938964844,407.5799865722656,1756898.0,True,True,True,True,0,0,25,False,False,False,False,False,,,,
25,2024-08-09 17:30:00+00:00,407.614990234375,408.0199890136719,406.0,406.4700012207031,882558.0,True,True,True,True,0,0,26,False,False,False,False,False,,,,
26,2024-08-09 18:30:00+00:00,406.43499755859375,407.07000732421875,405.9599914550781,406.2200012207031,993456.0,True,True,True,True,0,0,27,False,False,False,False,False,,,,
27,2024-08-09 19:30:00+00:00,406.2250061035156,407.1899108886719,405.75,406.0199890136719,1726466.0,True,True,True,True,0,0,28,False,False,False,False,False,,,,
28,2024-08-12 13:30:00+00:00,407.239990234375,408.32000732421875,404.243408203125,405.79998779296875,3791158.0,True,True,True,True,0,0,29,False,False,False,False,False,,,,
29,2024-08-12 14:30:00+00:00,405.760009765625,408.135009765625,404.3500061035156,405.3915100097656,1726616.0,True,True,True,True,0,0,30,False,False,False,False,False,,,,
30,2024-08-12 15:30:00+00:00,405.3699951171875,408.760009765625,405.17999267578125,407.8417053222656,1637931.0,True,True,True,True,0,0,31,False,False,False,False,False,,,,
31,2024-08-12 16:30:00+00:00,407.83929443359375,408.19000244140625,405.29998779296875,406.7919921875,947650.0,True,True,True,True,-1,0,32,False,False,False,False,False,,,,
32,2024-08-12 17:30:00+00:00,406.7998962402344,407.2250061035156,405.510009765625,405.7799987792969,854071.0,True,True,True,True,-2,0,33,False,False,False,False,False,,,,
